date (yyyy-MM-dd HH:mm:ss),windAlg.Spd_2m_kt,windAlg.Dir_2m,windAlg.GustAv_10m_kt,windAlg.SpdX_2m_kt,ALgt_1m_cd/m2,windAlg.Spd_10m_kt,windAlg.Dir_10m,windAlg.DirCCw_10m,windAlg.DirCw_10m,windAlg.Peak_10m_kt,zenoAlg.AT_5m_C,zenoAlg.DP_5m_C,zenoAlg.RH_5m,baroAlg.QNH_1m_mb,baroAlg.QFE_1m_mb,baroAlg.BPLow_1m_mb,visiAlg.F_Vis_1m_m,visiAlg.F_Vis_10m_m,visiAlg.VisMn_10m_m,visiAlg.VisMx_10m_m,runway,touchdown.message,rollout.message,touchdown.edge,touchdown.center,ceilAlg.Base_30s_ft,ceilAlg.layer1_report,ceilAlg.layer2_report,ceilAlg.layer3_report,ceilAlg.layer4_report,visiAlg.PW_METAR,zenoAlg.AT_5m_C,zenoAlg.RH_5m,baroAlg.BPLow_1m_Mb,windAlg.Dir_2m,windAlg.Spd_2m_kt,ALgt_1m_cd/m2
2023-01-20 00:00:15,2.1,235,,1.5,,2.2,236,216.0,256.0,3.2,26.0,25.2,95.5,1009.8,1009.6,1009.4,,,,,,,,,,,,,,,,26.0,95.5,,235,2.1,
2023-01-20 00:01:15,2.3,230,,1.8,,2.2,235,216.0,256.0,3.2,26.0,25.2,95.3,1009.8,1009.6,1009.4,,,,,,,,,,,,,,,,26.0,95.3,,230,2.3,
2023-01-20 00:02:15,2.8,235,,2.0,,2.3,236,216.0,256.0,3.6,26.1,25.3,95.1,1009.8,1009.6,1009.4,,,,,,,,,,,,,,,,26.1,95.1,,235,2.8,
2023-01-20 00:03:15,3.0,232,,2.2,,2.3,235,212.0,256.0,3.6,26.1,25.3,95.0,1009.8,1009.6,1009.5,,,,,,,,,,,,,,,,26.1,95.0,,232,3.0,
2023-01-20 00:04:15,3.0,224,,2.5,,2.4,234,212.0,256.0,3.6,26.2,25.4,95.0,1009.8,1009.6,1009.5,,,,,,,,,,,,,,,,26.2,95.0,,224,3.0,
2023-01-20 00:05:15,2.9,228,,2.3,,2.5,235,212.0,256.0,3.6,26.2,25.4,95.0,1009.8,1009.7,1009.5,,,,,,,,,,,,,,,,26.2,95.0,,228,2.9,
2023-01-20 00:06:15,2.5,233,,1.8,,2.5,235,212.0,256.0,3.6,26.2,25.4,95.0,1010.2,1009.7,1009.5,,,,,,,,,,,,,,,,26.2,95.0,,233,2.5,
2023-01-20 00:07:15,2.1,234,,1.5,,2.5,234,212.0,256.0,3.6,26.2,25.4,94.9,1010.2,1009.7,1009.5,,,,,,,,,,,,,,,,26.2,94.9,,234,2.1,
2023-01-20 00:08:15,2.1,239,,1.4,,2.5,233,212.0,256.0,3.6,26.3,25.4,94.9,1010.2,1009.7,1009.5,,,,,,,,,,,,,,,,26.3,94.9,,239,2.1,
2023-01-20 00:09:15,2.1,246,,1.2,,2.5,234,212.0,264.0,3.6,26.3,25.4,94.9,1010.2,1009.7,1009.5,,,,,,,,,,,,,,,,26.3,94.9,,246,2.1,
2023-01-20 00:10:15,2.3,248,,1.2,,2.5,236,212.0,264.0,3.6,26.3,25.4,94.7,1010.2,1009.7,1009.6,,,,,,,,,,,,,,,,26.3,94.7,,248,2.3,
2023-01-20 00:11:15,2.3,250,,1.1,,2.5,238,212.0,271.0,3.6,26.3,25.4,94.5,1010.2,1009.7,1009.6,,,,,,,,,,,,,,,,26.3,94.5,,250,2.3,
2023-01-20 00:12:15,2.5,242,,1.5,,2.5,238,212.0,271.0,3.6,26.3,25.4,94.4,1010.2,1009.8,1009.6,,,,,,,,,,,,,,,,26.3,94.4,,242,2.5,
2023-01-20 00:13:15,2.5,251,,1.2,,2.4,242,220.0,292.0,3.6,26.4,25.4,94.2,1010.2,1009.8,1009.6,,,,,,,,,,,,,,,,26.4,94.2,,251,2.5,
2023-01-20 00:14:15,2.0,255,,0.8,,2.3,244,224.0,292.0,3.6,26.4,25.4,94.0,1010.2,1009.8,1009.7,,,,,,,,,,,,,,,,26.4,94.0,,255,2.0,
2023-01-20 00:15:15,2.1,243,,1.3,,2.2,245,225.0,292.0,3.6,26.4,25.4,94.0,1010.2,1009.8,1009.7,,,,,,,,,,,,,,,,26.4,94.0,,243,2.1,
2023-01-20 00:16:15,2.2,247,,1.2,,2.2,246,225.0,292.0,3.6,26.5,25.5,94.0,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,26.5,94.0,,247,2.2,
2023-01-20 00:17:15,2.0,269,,0.4,,2.2,251,225.0,299.0,3.6,26.5,25.5,94.0,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,26.5,94.0,,269,2.0,
2023-01-20 00:18:15,1.8,287,,0.2,,2.2,256,225.0,313.0,3.6,26.5,25.5,93.9,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,26.5,93.9,,287,1.8,
2023-01-20 00:19:15,1.6,295,,0.4,,2.1,261,225.0,313.0,3.6,26.5,25.5,93.8,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,26.5,93.8,,295,1.6,
2023-01-20 00:20:15,1.4,275,,0.1,,2.0,262,220.0,313.0,3.6,26.5,25.4,93.6,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,26.5,93.6,,275,1.4,
2023-01-20 00:21:15,1.3,251,,0.6,,1.9,262,220.0,313.0,3.6,26.5,25.4,93.3,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,26.5,93.3,,251,1.3,
2023-01-20 00:22:15,1.3,244,,0.8,,1.7,262,213.0,313.0,2.8,26.6,25.4,93.2,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,26.6,93.2,,244,1.3,
2023-01-20 00:23:15,1.4,234,,1.0,,1.7,258,213.0,313.0,2.8,26.6,25.4,92.9,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,26.6,92.9,,234,1.4,
2023-01-20 00:24:15,1.5,221,,1.3,,1.7,255,193.0,313.0,2.7,26.7,25.4,92.6,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,26.7,92.6,,221,1.5,
2023-01-20 00:25:15,1.5,210,,1.4,,1.5,252,193.0,313.0,2.6,26.7,25.4,92.3,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,26.7,92.3,,210,1.5,
2023-01-20 00:26:15,1.4,215,,1.3,,1.5,249,186.0,313.0,2.6,26.8,25.4,92.0,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,26.8,92.0,,215,1.4,
2023-01-20 00:27:15,1.5,228,,1.2,,1.5,243,186.0,313.0,2.3,26.8,25.3,91.5,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,26.8,91.5,,228,1.5,
2023-01-20 00:28:15,1.2,231,,0.9,,1.4,237,186.0,311.0,2.3,26.8,25.3,90.9,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,26.8,90.9,,231,1.2,
2023-01-20 00:29:15,0.9,211,,0.8,,1.3,227,133.0,292.0,2.3,26.9,25.3,90.5,1010.2,1009.8,1009.7,,,,,,,,,,,,,,,,26.9,90.5,,211,0.9,
2023-01-20 00:30:15,1.1,196,,1.1,,1.3,222,133.0,279.0,2.3,26.9,25.2,90.0,1010.2,1009.8,1009.7,,,,,,,,,,,,,,,,26.9,90.0,,196,1.1,
2023-01-20 00:31:15,1.3,200,,1.3,,1.3,217,133.0,279.0,2.3,27.0,25.3,89.8,1010.2,1009.8,1009.7,,,,,,,,,,,,,,,,27.0,89.8,,200,1.3,
2023-01-20 00:32:15,0.9,204,,0.9,,1.2,214,133.0,1.0,2.3,27.1,25.4,89.6,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,27.1,89.6,,204,0.9,
2023-01-20 00:33:15,0.6,205,,0.6,,1.1,211,133.0,1.0,2.3,27.2,25.5,89.5,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,27.2,89.5,,205,0.6,
2023-01-20 00:34:15,0.4,209,,0.4,,1.0,212,133.0,1.0,2.3,27.3,25.5,89.4,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,27.3,89.4,,209,0.4,
2023-01-20 00:35:15,0.4,209,,0.4,,0.9,211,129.0,1.0,2.3,27.4,25.6,89.4,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,27.4,89.4,,209,0.4,
2023-01-20 00:36:15,0.8,209,,0.8,,0.9,211,129.0,1.0,2.3,27.5,25.7,89.2,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,27.5,89.2,,209,0.8,
2023-01-20 00:37:15,1.5,210,,1.4,,0.9,208,129.0,1.0,2.3,27.5,25.6,88.7,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,27.5,88.7,,210,1.5,
2023-01-20 00:38:15,2.0,211,,1.9,,1.0,206,129.0,1.0,2.7,27.6,25.6,88.3,1010.2,1009.8,1009.7,,,,,,,,,,,,,,,,27.6,88.3,,211,2.0,
2023-01-20 00:39:15,2.3,216,,2.1,,1.2,209,129.0,1.0,3.2,27.6,25.6,88.2,1010.2,1009.8,1009.7,,,,,,,,,,,,,,,,27.6,88.2,,216,2.3,
2023-01-20 00:40:15,2.2,223,,1.8,,1.3,212,129.0,1.0,3.2,27.6,25.5,88.0,1010.2,1009.8,1009.7,,,,,,,,,,,,,,,,27.6,88.0,,223,2.2,
2023-01-20 00:41:15,2.7,214,,2.5,,1.5,212,129.0,1.0,4.0,27.5,25.4,87.9,1010.2,1009.8,1009.7,,,,,,,,,,,,,,,,27.5,87.9,,214,2.7,
2023-01-20 00:42:15,3.0,191,,3.0,,1.7,209,129.0,1.0,4.0,27.4,25.4,88.2,1010.2,1009.9,1009.7,,,,,,,,,,,,,,,,27.4,88.2,,191,3.0,
