date (yyyy-MM-dd HH:mm:ss),windAlg.Spd_2m_kt,windAlg.Dir_2m,windAlg.GustAv_10m_kt,windAlg.SpdX_2m_kt,ALgt_1m_cd/m2,windAlg.Spd_10m_kt,windAlg.Dir_10m,windAlg.DirCCw_10m,windAlg.DirCw_10m,windAlg.Peak_10m_kt,zenoAlg.AT_5m_C,zenoAlg.DP_5m_C,zenoAlg.RH_5m,baroAlg.QNH_1m_mb,baroAlg.QFE_1m_mb,baroAlg.BPLow_1m_mb,visiAlg.F_Vis_1m_m,visiAlg.F_Vis_10m_m,visiAlg.VisMn_10m_m,visiAlg.VisMx_10m_m,runway,touchdown.message,rollout.message,touchdown.edge,touchdown.center,ceilAlg.Base_30s_ft,ceilAlg.layer1_report,ceilAlg.layer2_report,ceilAlg.layer3_report,ceilAlg.layer4_report,visiAlg.PW_METAR,zenoAlg.AT_5m_C,zenoAlg.RH_5m,baroAlg.BPLow_1m_Mb,windAlg.Dir_2m,windAlg.Spd_2m_kt,ALgt_1m_cd/m2
2023-02-01 00:00:15,7.5,292,,1.6,3397,7.2,291,268.0,305.0,10.1,26.3,26.3,100.0,1007.1,1006.9,1006.9,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.3,100.0,,292,7.5,3397
2023-02-01 00:01:15,7.0,290,,1.2,3481,7.1,291,268.0,305.0,10.1,26.3,26.3,100.0,1007.1,1006.9,1006.9,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.3,100.0,,290,7.0,3481
2023-02-01 00:02:15,7.0,289,,1.1,3540,7.2,290,268.0,305.0,10.1,26.4,26.4,100.0,1007.1,1006.9,1006.9,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.4,100.0,,289,7.0,3540
2023-02-01 00:03:15,7.3,279,,0.1,3561,7.2,288,267.0,305.0,10.1,26.4,26.4,100.0,1007.5,1007.0,1006.9,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.4,100.0,,279,7.3,3561
2023-02-01 00:04:15,6.9,275,,0.6,3587,7.1,286,267.0,303.0,10.1,26.4,26.4,100.0,1007.5,1007.0,1006.9,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.4,100.0,,275,6.9,3587
2023-02-01 00:05:15,7.0,279,,0.1,3671,7.1,285,267.0,303.0,10.1,26.5,26.5,100.0,1007.5,1007.0,1006.9,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.5,100.0,,279,7.0,3671
2023-02-01 00:06:15,7.5,282,,0.3,3746,7.2,285,267.0,303.0,10.1,26.5,26.5,100.0,1007.5,1007.0,1006.9,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.5,100.0,,282,7.5,3746
2023-02-01 00:07:15,6.8,281,,0.1,3779,7.1,284,267.0,303.0,10.1,26.5,26.5,100.0,1007.5,1007.0,1006.9,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.5,100.0,,281,6.8,3779
2023-02-01 00:08:15,7.3,275,,0.5,3804,7.2,283,267.0,299.0,10.1,26.5,26.5,100.0,1007.5,1007.0,1006.9,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.5,100.0,,275,7.3,3804
2023-02-01 00:09:15,7.6,275,,0.7,3860,7.1,281,267.0,298.0,9.5,26.5,26.5,100.0,1007.5,1007.0,1006.9,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.5,100.0,,275,7.6,3860
2023-02-01 00:10:15,7.5,276,,0.5,3917,7.2,280,267.0,298.0,9.7,26.5,26.5,100.0,1007.5,1007.0,1006.9,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.5,100.0,,276,7.5,3917
2023-02-01 00:11:15,8.0,280,,0.1,3951,7.3,279,267.0,296.0,9.7,26.5,26.5,100.0,1007.1,1006.9,1006.9,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.5,100.0,,280,8.0,3951
2023-02-01 00:12:15,8.6,285,,0.7,3975,7.5,279,267.0,295.0,10.4,26.5,26.5,100.0,1007.1,1006.9,1006.9,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.5,100.0,,285,8.6,3975
2023-02-01 00:13:15,8.7,289,,1.4,4036,7.6,281,269.0,297.0,10.4,26.5,26.5,100.0,1007.1,1006.9,1006.8,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.5,100.0,,289,8.7,4036
2023-02-01 00:14:15,8.8,289,,1.4,4131,7.9,281,269.0,297.0,10.4,26.5,26.5,100.0,1007.1,1006.9,1006.8,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.5,100.0,,289,8.8,4131
2023-02-01 00:15:15,8.5,285,,0.7,4231,7.9,282,269.0,297.0,10.4,26.5,26.5,100.0,1007.1,1006.9,1006.8,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.5,100.0,,285,8.5,4231
2023-02-01 00:16:15,8.1,283,,0.4,4293,8.0,282,269.0,297.0,10.4,26.5,26.5,100.0,1007.1,1006.9,1006.8,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.5,100.0,,283,8.1,4293
2023-02-01 00:17:15,7.7,284,,0.5,4354,8.1,283,270.0,297.0,10.4,26.5,26.5,100.0,1007.1,1006.9,1006.8,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.5,100.0,,284,7.7,4354
2023-02-01 00:18:15,7.5,287,,0.9,4439,8.1,284,270.0,297.0,10.4,26.5,26.5,100.0,1007.1,1006.9,1006.8,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.5,100.0,,287,7.5,4439
2023-02-01 00:19:15,7.7,291,,1.5,4512,8.1,286,271.0,298.0,10.4,26.6,26.6,100.0,1007.1,1006.9,1006.8,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.6,100.0,,291,7.7,4512
2023-02-01 00:20:15,7.4,288,,1.0,4535,8.0,286,272.0,298.0,10.4,26.6,26.6,100.0,1007.1,1006.9,1006.8,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.6,100.0,,288,7.4,4535
2023-02-01 00:21:15,7.2,286,,0.8,4559,8.0,287,272.0,298.0,10.4,26.7,26.7,100.0,1007.1,1006.8,1006.8,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.7,100.0,,286,7.2,4559
2023-02-01 00:22:15,8.3,284,,0.6,4639,8.0,286,270.0,298.0,10.0,26.7,26.7,100.0,1007.1,1006.8,1006.8,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.7,100.0,,284,8.3,4639
2023-02-01 00:23:15,8.1,281,,0.1,4732,7.8,285,270.0,298.0,10.0,26.7,26.7,100.0,1007.1,1006.8,1006.7,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.7,100.0,,281,8.1,4732
2023-02-01 00:24:15,7.5,280,,0.1,4794,7.7,285,270.0,298.0,10.0,26.8,26.8,100.0,1007.1,1006.8,1006.7,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.8,100.0,,280,7.5,4794
2023-02-01 00:25:15,8.2,273,,1.0,4857,7.8,283,257.0,298.0,10.2,26.8,26.8,100.0,1007.1,1006.8,1006.7,20000,9999,20000,20000,,M,M,,,0,NCD,,,,None,26.8,100.0,,273,8.2,4857
