date (yyyy-MM-dd HH:mm:ss),windAlg.Spd_2m_kt,windAlg.Dir_2m,windAlg.GustAv_10m_kt,windAlg.SpdX_2m_kt,ALgt_1m_cd/m2,windAlg.Spd_10m_kt,windAlg.Dir_10m,windAlg.DirCCw_10m,windAlg.DirCw_10m,windAlg.Peak_10m_kt,zenoAlg.AT_5m_C,zenoAlg.DP_5m_C,zenoAlg.RH_5m,baroAlg.QNH_1m_mb,baroAlg.QFE_1m_mb,baroAlg.BPLow_1m_mb,visiAlg.F_Vis_1m_m,visiAlg.F_Vis_10m_m,visiAlg.VisMn_10m_m,visiAlg.VisMx_10m_m,runway,touchdown.message,rollout.message,touchdown.edge,touchdown.center,ceilAlg.Base_30s_ft,ceilAlg.layer1_report,ceilAlg.layer2_report,ceilAlg.layer3_report,ceilAlg.layer4_report,visiAlg.PW_METAR,zenoAlg.AT_5m_C,zenoAlg.RH_5m,baroAlg.BPLow_1m_Mb,windAlg.Dir_2m,windAlg.Spd_2m_kt,ALgt_1m_cd/m2
2023-02-11 00:00:15,4.6,254,,2.0,2853,4.9,238,217.0,270.0,7.0,26.1,26.1,100.0,1008.8,1008.6,1008.5,9720,8000,7710,10660,,M,M,,,16949,BKN006,OVC035,,,BR,26.1,100.0,,254,4.6,2853
2023-02-11 00:01:15,6.0,256,,2.4,2878,5.0,241,217.0,270.0,7.7,26.1,26.1,100.0,1008.8,1008.6,1008.6,10100,9000,7900,10660,,M,M,,,721,BKN006,OVC035,,,BR,26.1,100.0,,256,6.0,2878
2023-02-11 00:02:15,6.5,258,,2.4,2888,5.2,245,217.0,270.0,7.7,26.2,26.2,100.0,1009.1,1008.6,1008.6,11630,9000,7900,11630,,M,M,,,17310,BKN006,BKN035,OVC170,,BR,26.2,100.0,,258,6.5,2888
2023-02-11 00:03:15,7.2,264,,2.0,2886,5.5,249,224.0,273.0,9.2,26.2,26.2,100.0,1009.1,1008.7,1008.6,12050,9000,7930,12050,,M,M,,,16425,BKN006,BKN037,OVC170,,BR,26.2,100.0,,264,7.2,2886
2023-02-11 00:04:15,7.9,265,,2.0,2886,5.7,251,226.0,273.0,9.5,26.2,26.2,100.0,1009.1,1008.7,1008.6,12510,9999,8670,12510,,M,M,,,0,BKN006,BKN170,OVC220,,None,26.2,100.0,,265,7.9,2886
2023-02-11 00:05:15,7.1,260,,2.4,2881,5.9,254,226.0,273.0,9.5,26.2,26.2,100.0,1009.1,1008.7,1008.7,13130,9999,9400,13130,,M,M,,,672,BKN006,BKN170,OVC220,,None,26.2,100.0,,260,7.1,2881
2023-02-11 00:06:15,6.6,264,,1.8,2879,6.0,258,234.0,273.0,9.5,26.2,26.2,100.0,1009.1,1008.8,1008.7,13110,9999,9400,13130,,M,M,,,0,BKN006,BKN170,BKN220,,None,26.2,100.0,,264,6.6,2879
2023-02-11 00:07:15,7.8,271,,1.2,2886,6.5,261,234.0,278.0,11.4,26.2,26.2,100.0,1009.1,1008.8,1008.7,13080,9999,9400,13130,,M,M,,,0,BKN006,BKN170,BKN220,,None,26.2,100.0,,271,7.8,2886
2023-02-11 00:08:15,9.4,271,,1.5,2889,7.0,262,244.0,278.0,12.1,26.2,26.2,100.0,1009.1,1008.8,1008.8,13070,9999,9400,13130,,M,M,,,0,BKN006,BKN170,BKN220,,None,26.2,100.0,,271,9.4,2889
2023-02-11 00:09:15,9.5,267,,2.1,2898,7.5,264,249.0,278.0,12.1,26.2,26.2,100.0,1009.1,1008.8,1008.8,13060,9999,9720,13130,,M,M,,,0,BKN006,BKN170,BKN220,,None,26.2,100.0,,267,9.5,2898
2023-02-11 00:10:15,8.7,265,,2.3,2921,7.8,264,251.0,278.0,12.1,26.2,26.2,100.0,1009.1,1008.9,1008.8,13710,9999,10100,13710,,M,M,,,0,BKN006,BKN170,BKN220,,None,26.2,100.0,,265,8.7,2921
2023-02-11 00:11:15,8.0,267,,1.8,2959,7.9,266,252.0,278.0,12.1,26.2,26.2,100.0,1009.1,1008.9,1008.8,13140,9999,11630,13710,,M,M,,,442,BKN006,BKN170,BKN220,,None,26.2,100.0,,267,8.0,2959
2023-02-11 00:12:15,7.5,265,,1.9,3044,8.0,266,250.0,278.0,12.1,26.2,26.2,100.0,1009.1,1008.9,1008.8,13050,9999,11630,13710,,M,M,,,16146,BKN006,BKN170,BKN220,,None,26.2,100.0,,265,7.5,3044
2023-02-11 00:13:15,7.7,265,,2.0,3155,8.0,266,250.0,278.0,12.1,26.2,26.2,100.0,1009.1,1008.9,1008.8,13560,9999,12510,13710,,M,M,,,0,BKN006,BKN170,BKN220,,None,26.2,100.0,,265,7.7,3155
