date,AT_10,AT_1028,AT_28
2023-02-01 00:00:15,26.1,26.3,26.3
2023-02-01 00:01:15,26.1,26.3,26.3
2023-02-01 00:02:15,26.1,26.4,26.4
2023-02-01 00:03:15,26.2,26.4,26.4
2023-02-01 00:04:15,26.2,26.4,26.4
2023-02-01 00:05:15,26.2,26.4,26.5
2023-02-01 00:06:15,26.3,26.4,26.5
2023-02-01 00:07:15,26.3,26.4,26.5
2023-02-01 00:08:15,26.3,26.4,26.5
2023-02-01 00:09:15,26.3,26.4,26.5
2023-02-01 00:10:15,26.3,26.4,26.5
2023-02-01 00:11:15,26.4,26.4,26.5
2023-02-01 00:12:15,26.4,26.4,26.5
2023-02-01 00:13:15,26.4,26.5,26.5
2023-02-01 00:14:15,26.4,26.5,26.5
2023-02-01 00:15:15,26.4,26.5,26.5
2023-02-01 00:16:15,26.5,26.6,26.5
2023-02-01 00:17:15,26.5,26.6,26.5
2023-02-01 00:18:15,26.5,26.7,26.5
2023-02-01 00:19:15,26.5,26.7,26.6
2023-02-01 00:20:15,26.5,26.7,26.6
2023-02-01 00:21:15,26.5,26.8,26.7
2023-02-01 00:22:15,26.5,26.8,26.7
2023-02-01 00:23:15,26.6,26.8,26.7
2023-02-01 00:24:15,26.6,26.8,26.8
2023-02-01 00:25:15,26.6,26.8,26.8
2023-02-01 00:26:15,26.6,26.8,26.8
2023-02-01 00:27:15,26.7,26.8,26.8
2023-02-01 00:28:15,26.7,26.8,26.8
2023-02-01 00:29:15,26.7,26.8,26.8
2023-02-01 00:30:15,26.8,26.9,26.8
2023-02-01 00:31:15,26.8,26.9,26.8
2023-02-01 00:32:15,26.8,26.9,26.9
2023-02-01 00:33:15,26.8,26.9,26.9
2023-02-01 00:34:15,26.8,26.9,26.9
2023-02-01 00:35:15,26.8,26.9,26.9
2023-02-01 00:36:15,26.9,26.9,26.9
2023-02-01 00:37:15,26.8,26.9,27.0
2023-02-01 00:38:15,26.8,26.9,27.0
2023-02-01 00:39:15,26.8,26.9,27.0
2023-02-01 00:40:15,26.8,26.9,27.0
2023-02-01 00:41:15,26.8,27.0,27.1
2023-02-01 00:42:15,26.9,27.0,27.1
2023-02-01 00:43:15,26.9,27.0,27.1
2023-02-01 00:44:15,27.0,27.1,27.2
2023-02-01 00:45:15,27.0,27.1,27.2
2023-02-01 00:46:15,27.1,27.1,27.2
2023-02-01 00:47:15,27.2,27.2,27.2
2023-02-01 00:48:15,27.3,27.3,27.3
2023-02-01 00:49:15,27.3,27.4,27.3
2023-02-01 00:50:15,27.4,27.5,27.4
2023-02-01 00:51:15,27.5,27.6,27.4
2023-02-01 00:52:15,27.5,27.6,27.5
2023-02-01 00:53:15,27.6,27.6,27.5
2023-02-01 00:54:15,27.6,27.6,27.6
2023-02-01 00:55:15,27.6,27.6,27.6
2023-02-01 00:56:15,27.6,27.6,27.6
2023-02-01 00:57:15,27.6,27.5,27.6
2023-02-01 00:58:15,27.6,27.5,27.6
2023-02-01 00:59:15,27.6,27.6,27.7
2023-02-01 01:00:15,27.6,27.6,27.7
2023-02-01 01:01:15,27.6,27.7,27.8
2023-02-01 01:02:15,27.6,27.8,27.8
2023-02-01 01:03:15,27.6,27.8,27.8
2023-02-01 01:04:15,27.6,27.9,27.9
2023-02-01 01:05:15,27.7,28.0,27.9
2023-02-01 01:06:15,27.7,28.0,28.0
2023-02-01 01:07:15,27.8,28.1,28.1
2023-02-01 01:08:15,27.8,28.1,28.2
2023-02-01 01:09:15,27.8,28.2,28.2
2023-02-01 01:10:15,27.9,28.2,28.3
2023-02-01 01:11:15,27.9,28.2,28.3
2023-02-01 01:12:15,28.0,28.2,28.3
2023-02-01 01:13:15,28.0,28.2,28.3
2023-02-01 01:14:15,28.1,28.3,28.3
2023-02-01 01:15:15,28.1,28.3,28.3
2023-02-01 01:16:15,28.2,28.4,28.4
2023-02-01 01:17:15,28.2,28.5,28.5
2023-02-01 01:18:15,28.3,28.5,28.5
2023-02-01 01:19:15,28.3,28.6,28.6
2023-02-01 01:20:15,28.3,28.7,28.7
2023-02-01 01:21:15,28.3,28.7,28.7
2023-02-01 01:22:15,28.4,28.7,28.8
2023-02-01 01:23:15,28.4,28.7,28.8
2023-02-01 01:24:15,28.4,28.8,28.8
2023-02-01 01:25:15,28.4,28.8,28.9
2023-02-01 01:26:15,28.4,28.8,28.8
2023-02-01 01:27:15,28.4,28.8,28.8
2023-02-01 01:28:15,28.3,28.8,28.8
2023-02-01 01:29:15,28.3,28.8,28.8
2023-02-01 01:30:15,28.3,28.8,28.8
2023-02-01 01:31:15,28.3,28.7,28.8
2023-02-01 01:32:15,28.3,28.7,28.8
2023-02-01 01:33:15,28.3,28.7,28.9
2023-02-01 01:34:15,28.3,28.6,28.9
2023-02-01 01:35:15,28.3,28.6,28.9
2023-02-01 01:36:15,28.3,28.6,29.0
2023-02-01 01:37:15,28.4,28.6,29.0
2023-02-01 01:38:15,28.4,28.7,29.0
2023-02-01 01:39:15,28.4,28.7,29.1
2023-02-01 01:40:15,28.5,28.9,29.1
2023-02-01 01:41:15,28.5,29.0,29.1
2023-02-01 01:42:15,28.6,29.0,29.2
2023-02-01 01:43:15,28.7,29.1,29.2
2023-02-01 01:44:15,28.8,29.2,29.2
2023-02-01 01:45:15,28.9,29.2,29.3
2023-02-01 01:46:15,29.0,29.2,29.3
2023-02-01 01:47:15,29.1,29.3,29.4
2023-02-01 01:48:15,29.2,29.3,29.4
2023-02-01 01:49:15,29.2,29.4,29.4
2023-02-01 01:50:15,29.3,29.4,29.4
2023-02-01 01:51:15,29.3,29.4,29.4
2023-02-01 01:52:15,29.3,29.4,29.4
